issue_id,issue,time,issue_time,category,description,topic,mark,abnormal_behavior,car_id,region,channel,platform,disengage_type,reviewed_status,version,safety_level,create_time
ISS-0011-QWN5ZC,False positive obstacle,2026-06-16 13:29:25,1781641765175,perception,The model reported a static obstacle in a clear lane. Planning slowed the vehicle unnecessarily before the object track disappeared. The record is suitable for module-owner follow-up.,False positive obstacle,"[""regression"", ""comfort""]",[],CAR-316,austin,fleet_replay,7,0,1,ads_2026.06.3,S0,1781650885175
ISS-0012-UR6HCC,Heading drift,2026-06-02 21:03:05,1780459385300,localization,The heading estimate drifted during a low-speed turn. Control compensated after the localization confidence recovered. The case should be compared against the latest regression run.,Heading drift,"[""triage"", ""bad_case"", ""route_blocker""]","[""tracking_error""]",CAR-180,phoenix,fleet_replay,7,0,1,ads_2026.06.3,S1,1780461365300
ISS-0013-91RD4T,Duplicate issue record,2026-06-18 21:37:39,1781843859377,data_platform,Two issue records referenced the same event window. The duplicate can be merged during manual review. The issue is useful for scenario-library expansion.,Duplicate issue record,"[""triage"", ""hard_brake"", ""route_blocker""]","[""false_detection"", ""tracking_error""]",CAR-806,guangzhou,road_test,8,0,1,ads_2026.06.2,S1,1781850579377
ISS-0014-ZEW89N,Over-conservative yield,2026-06-14 06:40:20,1781444420459,planning,The planner yielded longer than necessary at a low-speed merge. Traffic behind the ego vehicle slowed during the hesitation. The record is suitable for module-owner follow-up.,Over-conservative yield,"[""comfort"", ""safety_review""]",[],CAR-609,phoenix,road_test,3,0,0,ads_2026.07.0-beta,S1,1781444840459
ISS-0015-QHH70F,Heading drift,2026-06-04 01:46:08,1780562768569,localization,The heading estimate drifted during a low-speed turn. Control compensated after the localization confidence recovered. The issue is useful for scenario-library expansion.,Heading drift,"[""regression"", ""stuck""]","[""route_deviation""]",CAR-672,las_vegas,DHMI,7,1,1,ads_2026.06.2,S0,1780573508569
ISS-0016-MCTOT4,Late object detection,2026-06-05 14:48:41,1780696121878,perception,The perception stack detected a nearby road user later than expected. The delay reduced downstream reaction margin but did not create a collision. The record is suitable for module-owner follow-up.,Late object detection,"[""regression"", ""stuck""]",[],CAR-656,guangzhou,DHMI,8,0,1,ads_2026.06.2,S2,1780702661878
ISS-0017-GBMPIC,Cyclist trajectory drift,2026-06-02 18:41:24,1780450884661,prediction,The predicted cyclist path drifted toward the ego lane before stabilizing. The planner reserved extra space and reduced speed. The case should be compared against the latest regression run.,Cyclist trajectory drift,"[""hard_brake""]",[],CAR-472,austin,road_test,3,1,1,ads_2026.06.1,S1,1780461084661
ISS-0018-90315A,Missing annotation field,2026-06-04 07:10:24,1780582224046,data_platform,The issue record lacked one annotation field required by downstream review. The remaining fields were sufficient for triage. The event was closed after offline triage.,Missing annotation field,"[""route_blocker"", ""manual_takeover"", ""comfort""]","[""route_deviation""]",CAR-992,austin,fleet_replay,7,0,1,ads_2026.06.2,S2,1780583364046
ISS-0019-IAQGHO,Pedestrian intent uncertainty,2026-06-11 19:48:54,1781232534452,prediction,The prediction module assigned low confidence to a pedestrian crossing intent. The vehicle remained cautious until the actor cleared the conflict zone. The event was closed after offline triage.,Pedestrian intent uncertainty,"[""triage""]","[""hard_brake""]",CAR-849,san_francisco,road_test,3,0,0,ads_2026.06.2,S3,1781238294452
ISS-0020-ODIE92,Late object detection,2026-06-05 14:07:24,1780693644259,perception,The perception stack detected a nearby road user later than expected. The delay reduced downstream reaction margin but did not create a collision. The event was closed after offline triage.,Late object detection,"[""manual_takeover""]","[""false_detection""]",CAR-875,austin,PERFTEST,7,0,1,ads_2026.06.2,S1,1780702464259
ISS-0021-KFB2LM,Duplicate issue record,2026-06-16 18:02:52,1781658172341,data_platform,Two issue records referenced the same event window. The duplicate can be merged during manual review. The case should be compared against the latest regression run.,Duplicate issue record,"[""bad_case"", ""stuck""]","[""late_response"", ""tracking_error""]",CAR-243,seattle,simulation,8,1,1,ads_2026.06.1,S0,1781665552341
ISS-0022-BFG7EW,Gear state delay,2026-06-03 11:27:56,1780511276739,vehicle_interface,The reported gear state lagged behind the command state. The vehicle waited before continuing the low-speed maneuver. The case should be compared against the latest regression run.,Gear state delay,"[""safety_review"", ""low_confidence""]","[""late_response"", ""hard_brake""]",CAR-440,san_francisco,road_test,8,0,1,ads_2026.06.3,S1,1780520336739
ISS-0023-WQ4YIX,GNSS degradation,2026-06-18 02:35:00,1781775300526,localization,GNSS quality dropped near tall buildings. The fused pose remained usable with higher uncertainty. The case should be compared against the latest regression run.,GNSS degradation,"[""safety_review"", ""regression"", ""route_blocker""]",[],CAR-203,seattle,simulation,7,0,1,ads_2026.06.2,S3,1781782440526
ISS-0024-6JOK9E,Cyclist trajectory drift,2026-06-08 01:38:46,1780907926952,prediction,The predicted cyclist path drifted toward the ego lane before stabilizing. The planner reserved extra space and reduced speed. The case should be compared against the latest regression run.,Cyclist trajectory drift,"[""manual_takeover"", ""stuck"", ""regression""]","[""tracking_error""]",CAR-735,phoenix,road_test,3,0,1,ads_2026.06.3,S3,1780915366952
ISS-0025-IX012F,CAN signal dropout,2026-06-06 20:24:30,1780802670436,vehicle_interface,A vehicle interface signal dropped for a short interval. The autonomy stack used the last valid value and recovered cleanly. The event was closed after offline triage.,CAN signal dropout,"[""safety_review"", ""triage"", ""stuck""]","[""jerk""]",CAR-490,seattle,PERFTEST,3,0,1,ads_2026.07.0-beta,S1,1780805670436
ISS-0026-I6VTF6,Pedestrian intent uncertainty,2026-06-17 00:58:44,1781683124467,prediction,The prediction module assigned low confidence to a pedestrian crossing intent. The vehicle remained cautious until the actor cleared the conflict zone. The event was closed after offline triage.,Pedestrian intent uncertainty,"[""regression""]",[],CAR-574,seattle,road_test,7,0,1,ads_2026.06.1,S2,1781693684467
ISS-0027-24RUHY,Brake command spike,2026-06-08 14:50:09,1780955409080,control,A short brake command spike occurred after a lead-vehicle update. The speed recovered quickly without driver intervention. The record is suitable for module-owner follow-up.,Brake command spike,"[""triage"", ""manual_takeover""]","[""takeover""]",CAR-256,guangzhou,DHMI,3,0,1,ads_2026.07.0-beta,S2,1780958289080
ISS-0028-6LEY5G,Uncomfortable stop profile,2026-06-03 03:29:22,1780482562511,planning,The planned deceleration profile produced an abrupt stop near the stop line. The event was recoverable but reduced ride comfort. The record is suitable for module-owner follow-up.,Uncomfortable stop profile,"[""manual_takeover"", ""route_blocker"", ""triage""]","[""hard_brake""]",CAR-556,austin,DHMI,3,2,0,ads_2026.07.0-beta,S1,1780488502511
ISS-0029-EB7MDJ,Destination approach loop,2026-06-02 14:43:20,1780436600282,routing,The route near the destination contained a short loop. Planning rejected the loop after re-evaluating the terminal segment. The record is suitable for module-owner follow-up.,Destination approach loop,"[""safety_review""]","[""tracking_error""]",CAR-124,phoenix,fleet_replay,7,0,1,ads_2026.07.0-beta,S3,1780439240282
ISS-0030-PATVVL,Cyclist trajectory drift,2026-06-03 19:28:22,1780540102597,prediction,The predicted cyclist path drifted toward the ego lane before stabilizing. The planner reserved extra space and reduced speed. The record is suitable for module-owner follow-up.,Cyclist trajectory drift,"[""route_blocker"", ""safety_review""]","[""late_response""]",CAR-427,guangzhou,fleet_replay,7,0,1,ads_2026.06.1,S3,1780547962597
ISS-0031-CTM7O5,Pedestrian intent uncertainty,2026-06-08 17:45:00,1780965900858,prediction,The prediction module assigned low confidence to a pedestrian crossing intent. The vehicle remained cautious until the actor cleared the conflict zone. The issue is useful for scenario-library expansion.,Pedestrian intent uncertainty,"[""manual_takeover""]",[],CAR-863,seattle,road_test,8,0,1,ads_2026.06.2,S3,1780976220858
ISS-0032-XXP9WS,Pedestrian intent uncertainty,2026-06-08 16:36:13,1780961773995,prediction,The prediction module assigned low confidence to a pedestrian crossing intent. The vehicle remained cautious until the actor cleared the conflict zone. The issue is useful for scenario-library expansion.,Pedestrian intent uncertainty,"[""low_confidence"", ""triage""]","[""late_response""]",CAR-149,san_francisco,DHMI,3,1,1,ads_2026.06.2,S1,1780965133995
ISS-0033-FQD04Z,Over-conservative yield,2026-06-17 08:51:32,1781711492197,planning,The planner yielded longer than necessary at a low-speed merge. Traffic behind the ego vehicle slowed during the hesitation. The case should be compared against the latest regression run.,Over-conservative yield,"[""manual_takeover"", ""triage""]","[""tracking_error""]",CAR-301,san_francisco,DHMI,3,0,0,ads_2026.06.1,S0,1781719052197
ISS-0034-A4WGS9,Lane boundary flicker,2026-06-15 19:01:21,1781575281664,perception,Lane markings alternated between valid and invalid states. The unstable signal caused lateral planning to become conservative. The issue is useful for scenario-library expansion.,Lane boundary flicker,"[""manual_takeover"", ""hard_brake""]","[""takeover""]",CAR-406,las_vegas,fleet_replay,7,0,1,ads_2026.06.3,S0,1781581521664
ISS-0035-GI4QX8,Late object detection,2026-06-03 10:36:45,1780508205989,perception,The perception stack detected a nearby road user later than expected. The delay reduced downstream reaction margin but did not create a collision. The case should be compared against the latest regression run.,Late object detection,"[""hard_brake"", ""stuck""]","[""hard_brake"", ""jerk""]",CAR-397,beijing_yizhuang,simulation,3,0,1,ads_2026.07.0-beta,S1,1780512885989
ISS-0036-3MTX25,Throttle lag,2026-06-17 04:43:08,1781696588992,control,The requested acceleration was applied later than expected after a stop. The vehicle created a small gap to the leading traffic flow. The issue is useful for scenario-library expansion.,Throttle lag,"[""hard_brake"", ""regression"", ""bad_case""]","[""hard_brake""]",CAR-173,las_vegas,simulation,3,0,0,ads_2026.06.1,S0,1781698088992
ISS-0037-PET2LT,Lane boundary flicker,2026-06-12 03:56:10,1781261770841,perception,Lane markings alternated between valid and invalid states. The unstable signal caused lateral planning to become conservative. The record is suitable for module-owner follow-up.,Lane boundary flicker,"[""bad_case"", ""hard_brake"", ""route_blocker""]",[],CAR-505,beijing_yizhuang,road_test,3,0,1,ads_2026.06.1,S1,1781271790841
ISS-0038-TD9105,Uncomfortable stop profile,2026-06-02 14:39:34,1780436374682,planning,The planned deceleration profile produced an abrupt stop near the stop line. The event was recoverable but reduced ride comfort. The issue is useful for scenario-library expansion.,Uncomfortable stop profile,"[""low_confidence""]",[],CAR-628,guangzhou,DHMI,3,0,1,ads_2026.06.1,S1,1780439794682
ISS-0039-P0R2NR,Speed limit mismatch,2026-06-14 22:04:56,1781499896037,mapping,The map speed limit differed from the observed sign. The system retained the lower value until the discrepancy was reviewed. The record is suitable for module-owner follow-up.,Speed limit mismatch,"[""comfort"", ""triage""]","[""late_response""]",CAR-618,austin,road_test,8,0,1,ads_2026.06.1,S1,1781510516037
ISS-0040-KX4X8M,Brake command spike,2026-06-13 05:08:17,1781352497636,control,A short brake command spike occurred after a lead-vehicle update. The speed recovered quickly without driver intervention. The record is suitable for module-owner follow-up.,Brake command spike,"[""low_confidence"", ""comfort"", ""triage""]","[""hesitation"", ""jerk""]",CAR-623,seattle,PERFTEST,3,1,1,ads_2026.07.0-beta,S1,1781354897636
ISS-0041-JI96PB,Unstable cut-in prediction,2026-06-04 05:14:19,1780575259725,prediction,A neighboring vehicle's future path oscillated between keep-lane and cut-in hypotheses. Planning reacted with repeated speed adjustments. The case should be compared against the latest regression run.,Unstable cut-in prediction,"[""regression"", ""low_confidence""]","[""false_detection"", ""hesitation""]",CAR-531,las_vegas,fleet_replay,3,1,1,ads_2026.06.2,S2,1780576639725
ISS-0042-FIR6BL,Pedestrian intent uncertainty,2026-06-18 15:42:44,1781822564371,prediction,The prediction module assigned low confidence to a pedestrian crossing intent. The vehicle remained cautious until the actor cleared the conflict zone. The record is suitable for module-owner follow-up.,Pedestrian intent uncertainty,"[""comfort"", ""hard_brake""]","[""route_deviation""]",CAR-868,phoenix,simulation,3,0,1,ads_2026.07.0-beta,S2,1781828924371
ISS-0043-43XR34,Steering oscillation,2026-06-09 01:32:59,1780993979296,control,The control loop produced small steering corrections on a straight segment. The vehicle stayed within lane boundaries but ride quality degraded. The event was closed after offline triage.,Steering oscillation,"[""triage"", ""hard_brake""]","[""jerk"", ""tracking_error""]",CAR-216,phoenix,fleet_replay,7,2,1,ads_2026.06.2,S1,1781000939296
ISS-0044-IQ0A76,Steering oscillation,2026-06-02 12:12:39,1780427559245,control,The control loop produced small steering corrections on a straight segment. The vehicle stayed within lane boundaries but ride quality degraded. The issue is useful for scenario-library expansion.,Steering oscillation,"[""hard_brake""]","[""false_detection""]",CAR-597,las_vegas,fleet_replay,8,1,1,ads_2026.06.2,S1,1780428279245
ISS-0045-ASQGU3,Over-conservative yield,2026-06-10 09:18:56,1781108336425,planning,The planner yielded longer than necessary at a low-speed merge. Traffic behind the ego vehicle slowed during the hesitation. The record is suitable for module-owner follow-up.,Over-conservative yield,"[""route_blocker"", ""regression"", ""stuck""]","[""jerk""]",CAR-892,seattle,PERFTEST,8,0,0,ads_2026.07.0-beta,S3,1781118116425
ISS-0046-RVPSUC,Late lane-change decision,2026-06-10 06:31:33,1781098293306,planning,The lane-change decision was issued close to the route split. The maneuver remained valid but had limited execution margin. The event was closed after offline triage.,Late lane-change decision,"[""hard_brake"", ""triage""]","[""tracking_error"", ""hard_brake""]",CAR-313,phoenix,fleet_replay,7,1,0,ads_2026.06.3,S0,1781103273306
ISS-0047-4I8AE4,Gear state delay,2026-06-10 16:48:19,1781135299795,vehicle_interface,The reported gear state lagged behind the command state. The vehicle waited before continuing the low-speed maneuver. The record is suitable for module-owner follow-up.,Gear state delay,"[""route_blocker"", ""comfort"", ""safety_review""]",[],CAR-341,phoenix,fleet_replay,8,0,1,ads_2026.06.1,S3,1781142979795
ISS-0048-UZNTBS,Cyclist trajectory drift,2026-06-07 03:38:36,1780828716965,prediction,The predicted cyclist path drifted toward the ego lane before stabilizing. The planner reserved extra space and reduced speed. The issue is useful for scenario-library expansion.,Cyclist trajectory drift,"[""regression""]","[""false_detection""]",CAR-825,san_francisco,DHMI,7,0,0,ads_2026.06.2,S3,1780839276965
ISS-0049-NTNWSN,Over-conservative yield,2026-06-13 06:16:44,1781356604314,planning,The planner yielded longer than necessary at a low-speed merge. Traffic behind the ego vehicle slowed during the hesitation. The record is suitable for module-owner follow-up.,Over-conservative yield,"[""hard_brake"", ""manual_takeover""]","[""jerk"", ""false_detection""]",CAR-980,las_vegas,PERFTEST,8,1,1,ads_2026.07.0-beta,S2,1781364944314
ISS-0050-WKEH1B,Duplicate issue record,2026-06-11 16:43:01,1781221381000,data_platform,Two issue records referenced the same event window. The duplicate can be merged during manual review. The record is suitable for module-owner follow-up.,Duplicate issue record,"[""comfort"", ""triage""]","[""jerk"", ""tracking_error""]",CAR-134,las_vegas,fleet_replay,8,1,0,ads_2026.06.2,S1,1781229301000
ISS-0051-8BP5G5,CAN signal dropout,2026-06-09 09:23:08,1781022188870,vehicle_interface,A vehicle interface signal dropped for a short interval. The autonomy stack used the last valid value and recovered cleanly. The record is suitable for module-owner follow-up.,CAN signal dropout,"[""route_blocker"", ""manual_takeover"", ""stuck""]","[""late_response"", ""hesitation""]",CAR-827,san_francisco,road_test,7,0,1,ads_2026.06.2,S0,1781032568870
ISS-0052-64K3WO,CAN signal dropout,2026-06-02 02:37:53,1780393073258,vehicle_interface,A vehicle interface signal dropped for a short interval. The autonomy stack used the last valid value and recovered cleanly. The event was closed after offline triage.,CAN signal dropout,"[""low_confidence""]",[],CAR-712,san_francisco,fleet_replay,7,0,1,ads_2026.06.1,S2,1780395053258
ISS-0053-VV67HT,Scenario replay mismatch,2026-06-10 11:21:04,1781115664745,simulation,A replayed scenario diverged from the recorded ego speed profile. The discrepancy was isolated to simulation actor timing. The case should be compared against the latest regression run.,Scenario replay mismatch,"[""regression"", ""safety_review"", ""triage""]","[""route_deviation""]",CAR-399,phoenix,DHMI,3,0,1,ads_2026.06.1,S0,1781124784745
ISS-0054-TX566K,Lane boundary flicker,2026-06-01 03:36:27,1780310187431,perception,Lane markings alternated between valid and invalid states. The unstable signal caused lateral planning to become conservative. The issue is useful for scenario-library expansion.,Lane boundary flicker,"[""low_confidence""]",[],CAR-910,las_vegas,fleet_replay,7,0,0,ads_2026.06.2,S3,1780313967431
ISS-0055-A99X25,Cyclist trajectory drift,2026-06-06 19:52:46,1780800766756,prediction,The predicted cyclist path drifted toward the ego lane before stabilizing. The planner reserved extra space and reduced speed. The case should be compared against the latest regression run.,Cyclist trajectory drift,"[""safety_review"", ""route_blocker""]",[],CAR-924,phoenix,simulation,8,1,1,ads_2026.07.0-beta,S0,1780804786756
ISS-0056-G8WK93,Cyclist trajectory drift,2026-06-16 06:41:08,1781617268644,prediction,The predicted cyclist path drifted toward the ego lane before stabilizing. The planner reserved extra space and reduced speed. The event was closed after offline triage.,Cyclist trajectory drift,"[""low_confidence""]","[""takeover""]",CAR-535,beijing_yizhuang,PERFTEST,8,0,1,ads_2026.06.3,S0,1781627948644
ISS-0057-W2LC2K,Steering oscillation,2026-06-04 13:20:52,1780604452941,control,The control loop produced small steering corrections on a straight segment. The vehicle stayed within lane boundaries but ride quality degraded. The event was closed after offline triage.,Steering oscillation,"[""regression"", ""triage"", ""comfort""]",[],CAR-176,seattle,simulation,3,0,1,ads_2026.06.1,S2,1780606732941
ISS-0058-JQOAAX,Cyclist trajectory drift,2026-06-18 04:26:02,1781781962471,prediction,The predicted cyclist path drifted toward the ego lane before stabilizing. The planner reserved extra space and reduced speed. The record is suitable for module-owner follow-up.,Cyclist trajectory drift,"[""safety_review"", ""hard_brake""]","[""hard_brake"", ""tracking_error""]",CAR-732,san_francisco,PERFTEST,7,0,0,ads_2026.07.0-beta,S0,1781782742471
ISS-0059-23PGX3,Cyclist trajectory drift,2026-06-16 13:37:33,1781642253499,prediction,The predicted cyclist path drifted toward the ego lane before stabilizing. The planner reserved extra space and reduced speed. The event was closed after offline triage.,Cyclist trajectory drift,"[""triage"", ""stuck"", ""comfort""]","[""jerk"", ""hard_brake""]",CAR-864,las_vegas,DHMI,3,0,1,ads_2026.06.2,S0,1781649693499
ISS-0060-317EEY,Late lane-change decision,2026-06-12 09:50:53,1781283053670,planning,The lane-change decision was issued close to the route split. The maneuver remained valid but had limited execution margin. The case should be compared against the latest regression run.,Late lane-change decision,"[""manual_takeover"", ""safety_review"", ""hard_brake""]","[""hard_brake""]",CAR-771,beijing_yizhuang,fleet_replay,7,0,0,ads_2026.06.2,S0,1781287553670
ISS-0061-00H0MA,Pedestrian intent uncertainty,2026-06-03 20:05:00,1780542300590,prediction,The prediction module assigned low confidence to a pedestrian crossing intent. The vehicle remained cautious until the actor cleared the conflict zone. The event was closed after offline triage.,Pedestrian intent uncertainty,"[""bad_case"", ""regression"", ""manual_takeover""]","[""hesitation"", ""hard_brake""]",CAR-833,austin,DHMI,3,0,0,ads_2026.07.0-beta,S0,1780551360590
ISS-0062-7BUB44,CAN signal dropout,2026-06-10 19:30:03,1781145003406,vehicle_interface,A vehicle interface signal dropped for a short interval. The autonomy stack used the last valid value and recovered cleanly. The record is suitable for module-owner follow-up.,CAN signal dropout,"[""comfort""]","[""hesitation"", ""late_response""]",CAR-487,phoenix,fleet_replay,3,1,1,ads_2026.06.3,S0,1781152803406
ISS-0063-R9XVEE,Pedestrian intent uncertainty,2026-06-17 07:13:08,1781705588026,prediction,The prediction module assigned low confidence to a pedestrian crossing intent. The vehicle remained cautious until the actor cleared the conflict zone. The case should be compared against the latest regression run.,Pedestrian intent uncertainty,"[""low_confidence"", ""stuck"", ""regression""]",[],CAR-671,beijing_yizhuang,PERFTEST,3,0,0,ads_2026.06.2,S1,1781714168026
ISS-0064-6ORPH3,Brake command spike,2026-06-06 18:04:36,1780794276718,control,A short brake command spike occurred after a lead-vehicle update. The speed recovered quickly without driver intervention. The issue is useful for scenario-library expansion.,Brake command spike,"[""comfort"", ""route_blocker"", ""manual_takeover""]","[""false_detection"", ""takeover""]",CAR-391,san_francisco,fleet_replay,7,0,1,ads_2026.06.1,S2,1780796256718
ISS-0065-2U0MO7,Missing annotation field,2026-06-12 02:48:17,1781257697137,data_platform,The issue record lacked one annotation field required by downstream review. The remaining fields were sufficient for triage. The record is suitable for module-owner follow-up.,Missing annotation field,"[""manual_takeover""]","[""late_response""]",CAR-282,seattle,PERFTEST,7,0,1,ads_2026.06.3,S1,1781268257137
ISS-0066-BNT756,Environment parameter drift,2026-06-10 10:57:54,1781114274727,simulation,Weather and surface parameters drifted from the scenario baseline. The test remained valid but needs tighter configuration control. The record is suitable for module-owner follow-up.,Environment parameter drift,"[""regression""]",[],CAR-280,san_francisco,simulation,7,1,1,ads_2026.07.0-beta,S0,1781124954727
ISS-0067-AFMUDG,Throttle lag,2026-06-12 20:48:18,1781322498995,control,The requested acceleration was applied later than expected after a stop. The vehicle created a small gap to the leading traffic flow. The case should be compared against the latest regression run.,Throttle lag,"[""stuck"", ""regression""]","[""tracking_error""]",CAR-576,seattle,fleet_replay,3,0,1,ads_2026.07.0-beta,S0,1781325198995
ISS-0068-NTIDYP,Gear state delay,2026-06-15 00:28:44,1781508524252,vehicle_interface,The reported gear state lagged behind the command state. The vehicle waited before continuing the low-speed maneuver. The event was closed after offline triage.,Gear state delay,"[""bad_case""]","[""route_deviation""]",CAR-882,phoenix,PERFTEST,8,1,1,ads_2026.06.2,S1,1781512904252
ISS-0069-0RDVDX,Uncomfortable stop profile,2026-06-05 04:21:48,1780658508423,planning,The planned deceleration profile produced an abrupt stop near the stop line. The event was recoverable but reduced ride comfort. The case should be compared against the latest regression run.,Uncomfortable stop profile,"[""comfort"", ""bad_case"", ""stuck""]","[""takeover""]",CAR-318,phoenix,fleet_replay,7,0,0,ads_2026.06.3,S2,1780665348423
ISS-0070-HG0UAM,Lane boundary flicker,2026-06-03 09:21:50,1780503710872,perception,Lane markings alternated between valid and invalid states. The unstable signal caused lateral planning to become conservative. The record is suitable for module-owner follow-up.,Lane boundary flicker,"[""triage"", ""regression"", ""stuck""]","[""route_deviation"", ""late_response""]",CAR-134,san_francisco,PERFTEST,7,0,1,ads_2026.06.2,S3,1780508030872
ISS-0071-IXSOVS,Pose jump,2026-06-06 02:18:47,1780737527859,localization,The localization estimate shifted laterally after map matching. Planning absorbed the change and kept the vehicle in lane. The case should be compared against the latest regression run.,Pose jump,"[""bad_case""]",[],CAR-270,san_francisco,DHMI,3,1,0,ads_2026.06.1,S2,1780742987859
ISS-0072-OJ7FTD,Lane boundary flicker,2026-06-18 21:03:40,1781841820137,perception,Lane markings alternated between valid and invalid states. The unstable signal caused lateral planning to become conservative. The event was closed after offline triage.,Lane boundary flicker,"[""triage"", ""safety_review""]","[""late_response"", ""jerk""]",CAR-402,san_francisco,fleet_replay,8,0,1,ads_2026.07.0-beta,S3,1781850700137
ISS-0073-GB2Y8O,Delayed log upload,2026-06-08 23:40:31,1780987231148,data_platform,Issue logs were uploaded later than expected after the run. The complete data package became available after retry. The issue is useful for scenario-library expansion.,Delayed log upload,"[""manual_takeover""]","[""takeover""]",CAR-342,phoenix,PERFTEST,7,0,1,ads_2026.06.2,S3,1780995691148
ISS-0074-CXBPQ2,Outdated construction geometry,2026-06-11 11:48:24,1781203704939,mapping,Map geometry did not match temporary construction cones. Perception provided the primary boundary signal for the segment. The issue is useful for scenario-library expansion.,Outdated construction geometry,"[""hard_brake"", ""comfort"", ""route_blocker""]","[""tracking_error""]",CAR-492,beijing_yizhuang,road_test,8,0,0,ads_2026.07.0-beta,S0,1781212044939
ISS-0075-EID7HM,Over-conservative yield,2026-06-14 16:06:23,1781478383469,planning,The planner yielded longer than necessary at a low-speed merge. Traffic behind the ego vehicle slowed during the hesitation. The case should be compared against the latest regression run.,Over-conservative yield,"[""regression"", ""hard_brake"", ""comfort""]","[""hesitation""]",CAR-789,guangzhou,PERFTEST,8,0,1,ads_2026.06.3,S0,1781487683469
ISS-0076-OFSIUY,Delayed log upload,2026-06-13 16:49:33,1781394573952,data_platform,Issue logs were uploaded later than expected after the run. The complete data package became available after retry. The case should be compared against the latest regression run.,Delayed log upload,"[""low_confidence"", ""manual_takeover""]","[""takeover"", ""late_response""]",CAR-666,las_vegas,DHMI,8,0,1,ads_2026.06.1,S2,1781395953952
